

# t          S            I            R           
2.180        55.306       5503442.370  496902.324  
2.185        52.931       5501563.651  498783.417  
2.189        50.657       5499684.107  500665.236  
2.194        48.480       5497803.716  502547.804  
2.199        46.396       5495922.454  504431.150  
2.204        44.400       5494040.298  506315.301  
2.209        42.490       5492157.223  508200.287  
2.213        40.661       5490273.200  510086.139  
2.218        38.909       5488388.202  511972.888  
2.223        37.233       5486502.198  513860.569  
2.228        35.628       5484615.157  515749.215  
2.233        34.091       5482727.045  517638.865  
2.238        32.620       5480837.825  519529.555  
2.242        31.211       5478947.463  521421.326  
2.247        29.863       5477055.917  523314.221  
2.252        28.572       5475163.147  525208.281  
2.257        27.336       5473269.110  527103.554  
2.262        26.152       5471373.761  529000.087  
2.267        25.019       5469477.052  530897.929  
2.271        23.935       5467578.932  532797.133  
2.276        22.897       5465679.350  534697.753  
2.281        21.903       5463778.250  536599.847  
2.286        20.951       5461875.576  538503.473  
2.291        20.040       5459971.266  540408.694  
2.296        19.168       5458065.257  542315.575  
2.301        18.333       5456157.483  544224.184  
2.306        17.534       5454247.874  546134.592  
2.311        16.769       5452336.358  548046.874  
2.315        16.036       5450422.858  549961.106  
2.320        15.335       5448507.295  551877.370  
2.325        14.664       5446589.584  553795.752  
2.330        14.021       5444669.640  555716.339  
2.335        13.406       5442747.368  557639.226  
2.340        12.817       5440822.675  559564.508  
2.345        12.253       5438895.459  561492.287  
2.350        11.713       5436965.616  563422.671  
2.355        11.197       5435033.035  565355.768  
2.360        10.702       5433097.601  567291.697  
2.365        10.229       5431159.193  569230.578  
2.370        9.776        5429217.686  571172.538  
2.375        9.342        5427272.948  573117.710  
2.380        8.927        5425324.839  575066.234  
2.385        8.529        5423373.217  577018.254  
2.390        8.149        5421417.928  578973.923  
2.395        7.785        5419458.814  580933.401  
2.400        7.436        5417495.711  582896.853  
2.405        7.102        5415528.443  584864.455  
2.411        6.783        5413556.829  586836.388  
2.416        6.477        5411580.679  588812.844  
2.421        6.185        5409599.793  590794.022  
2.426        5.905        5407613.964  592780.132  
2.431        5.637        5405622.971  594771.393  
2.436        5.380        5403626.586  596768.034  
2.441        5.134        5401624.571  598770.295  
2.447        4.899        5399616.673  600778.428  
2.452        4.674        5397602.630  602792.696  
2.457        4.459        5395582.166  604813.375  
2.462        4.253        5393554.993  606840.754  
2.468        4.056        5391520.808  608875.136  
2.473        3.867        5389479.295  610916.837  
2.478        3.687        5387430.122  612966.191  
2.484        3.514        5385372.940  615023.546  
2.489        3.349        5383307.385  617089.267  
2.494        3.190        5381233.073  619163.737  
2.500        3.039        5379149.604  621247.357  
2.505        2.894        5377056.557  623340.549  
2.511        2.755        5374953.490  625443.754  
