
# x      y        dy      , Gy      
1.702    0.024    0.444    0.495   
1.718    0.032    0.505    0.495   
1.733    0.040    0.568    0.496   
1.749    0.049    0.631    0.496   
1.765    0.060    0.696    0.497   
1.780    0.071    0.761    0.498   
1.796    0.084    0.827    0.499   
1.812    0.097    0.893    0.501   
1.827    0.112    0.960    0.502   
1.843    0.127    1.027    0.504   
1.858    0.144    1.095    0.506   
1.874    0.161    1.163    0.509   
1.890    0.180    1.231    0.511   
1.905    0.200    1.299    0.514   
1.921    0.221    1.367    0.518   
1.937    0.242    1.435    0.521   
1.952    0.265    1.502    0.525   
1.968    0.289    1.570    0.530   
1.983    0.314    1.637    0.534   
1.999    0.341    1.703    0.539   
2.015    0.368    1.769    0.545   
2.030    0.396    1.834    0.551   
2.046    0.425    1.898    0.557   
2.062    0.455    1.962    0.564   
2.077    0.486    2.024    0.572   
2.093    0.518    2.086    0.579   
2.108    0.551    2.146    0.588   
2.124    0.585    2.205    0.597   
2.140    0.620    2.262    0.606   
2.155    0.656    2.318    0.616   
2.171    0.693    2.373    0.627   
2.187    0.730    2.425    0.638   
2.202    0.769    2.477    0.649   
2.218    0.808    2.526    0.662   
2.233    0.847    2.574    0.675   
2.249    0.888    2.619    0.688   
2.265    0.929    2.663    0.702   
2.280    0.971    2.704    0.717   
2.296    1.014    2.744    0.733   
2.312    1.057    2.781    0.749   
2.327    1.101    2.815    0.766   
2.343    1.145    2.848    0.783   
2.358    1.190    2.878    0.802   
2.374    1.235    2.905    0.820   
2.390    1.280    2.930    0.840   
2.405    1.326    2.953    0.860   
2.421    1.373    2.973    0.882   
2.437    1.419    2.990    0.903   
2.452    1.466    3.005    0.926   
2.468    1.513    3.017    0.949   
2.483    1.560    3.026    0.973   
2.499    1.608    3.032    0.998   
2.515    1.655    3.036    1.023   
2.530    1.703    3.036    1.050   
2.546    1.750    3.034    1.077   
2.562    1.797    3.030    1.104   
2.577    1.845    3.022    1.133   
2.593    1.892    3.011    1.162   
2.608    1.939    2.998    1.192   
2.624    1.986    2.982    1.223   
2.640    2.032    2.963    1.254   
2.655    2.078    2.941    1.286   
2.671    2.124    2.917    1.319   
2.687    2.169    2.890    1.352   
2.702    2.214    2.860    1.387   
2.718    2.259    2.827    1.422   
2.733    2.303    2.792    1.457   
2.749    2.346    2.755    1.494   
2.765    2.389    2.714    1.531   
2.780    2.431    2.671    1.568   
2.796    2.472    2.626    1.607   
2.812    2.513    2.578    1.645   
2.827    2.553    2.528    1.685   
2.843    2.592    2.476    1.725   
2.858    2.630    2.422    1.766   
2.874    2.667    2.365    1.807   
2.890    2.704    2.306    1.849   
2.905    2.739    2.245    1.892   
2.921    2.774    2.183    1.935   
2.937    2.808    2.118    1.979   
2.952    2.840    2.052    2.023   
2.968    2.872    1.984    2.067   
2.983    2.902    1.914    2.112   
2.999    2.932    1.843    2.158   
3.015    2.960    1.770    2.204   
3.030    2.987    1.696    2.251   
3.046    3.013    1.621    2.297   
3.062    3.037    1.544    2.345   
3.077    3.061    1.467    2.392   
3.093    3.083    1.388    2.440   
3.108    3.104    1.309    2.489   
3.124    3.124    1.229    2.537   
3.140    3.143    1.148    2.586   
